month,actual,AR,VAR,DI
2021-03-31,14.1,39.81441858263996,28.083929458445414,7.472280203624953
2021-04-30,9.8,11.727321805493947,3.3147596220772293,13.64085943809434
2021-05-31,8.8,9.381940510100094,0.5509830664448252,10.683793983663353
2021-06-30,8.3,8.825854744980614,7.162356387291908,10.231744234005228
2021-07-31,6.4,8.546583244246369,9.697921782315179,8.510899197392895
2021-08-31,5.3,7.53011441606207,5.158324087510522,6.647750719694558
2021-09-30,3.1,6.933223455014875,-0.7445898336779813,5.236093469462205
2021-10-31,3.5,5.7487366112260645,4.625824147684293,3.002812468794554
2021-11-30,3.8,5.956139055457589,4.742892154355275,2.6528019265602323
2021-12-31,4.3,6.103938269418206,2.459573700374591,3.1587077980850777
2022-03-31,5.0,10.955578874891465,2.9896774943552415,3.816225837967779
2022-04-30,-2.9,6.726044369495704,-11.242399629960858,4.404029025712464
2022-05-31,0.7,2.350382504458991,-2.1567014539486067,-0.9050430623739114
2022-06-30,3.9,4.257284542004076,4.7737252828702665,0.7704486609667871
2022-07-31,3.8,5.9926478789135995,11.191575131096265,1.8237189660413966
2022-08-31,4.2,5.904294189561729,4.886280093594149,2.8716153289658513
2022-09-30,6.3,6.093183975593899,8.44771847135289,3.9765869715255047
2022-10-31,5.0,7.218055621375833,4.793734977968821,5.5183486772387
2022-11-30,2.2,6.481210490563525,2.9622470585532383,4.82592593461655
2022-12-31,1.3,4.961898211384995,-0.6305110868244501,3.1197450829500273
2023-03-31,3.9,13.095367681779141,10.182024677642211,2.3081054493585293
2023-04-30,5.6,5.966320204772219,12.67866470095181,4.203594175927336
2023-05-31,3.5,6.7251359730073155,19.902890860299472,4.9719229055439556
2023-06-30,4.4,5.756610750725503,6.337393689041875,3.782337303814421
2023-07-31,3.7,6.137028544068303,0.05993724218589591,4.331210659387231
2023-08-31,4.5,5.794863491253226,3.113463644044593,3.2996152942262444
2023-09-30,4.5,6.128109445105365,5.575499155389238,4.064566590164637
2023-10-31,4.6,6.104149710168357,5.452418471515593,3.951201387797032
2023-11-30,6.6,6.123188257401076,8.520900609826413,4.270227936083409
2023-12-31,6.8,6.976268865139175,8.789434288223674,5.380691767731472
2024-03-31,4.5,0.5417610365259349,5.127571134038426,5.464332265240248
2024-04-30,6.7,6.261643197916445,6.183009023795876,4.432668857485042
2024-05-31,5.6,6.928393901096556,3.2106242635943154,6.093315727633179
2024-06-30,5.3,6.548678216705671,5.5209279938953415,5.097991088375763
2024-07-31,5.1,6.429478949985822,3.0778459296212404,5.32699730049141
2024-08-31,4.5,6.34095870733344,5.360147350607345,4.964367122757356
2024-09-30,5.4,6.132208322671508,5.037572798492732,4.567766522452155
2024-10-31,5.3,6.365304559710741,6.992125398267223,5.134015358946048
2024-11-30,5.4,6.310853133012354,8.110069918621335,5.081024135427905
2024-12-31,6.2,6.309125387512611,3.601570912337568,5.3824027700159025
2025-03-31,7.7,11.676364445058379,-1.7962463671923494,5.816282982873735
2025-04-30,6.1,6.808198223300315,-1.6340941325790865,6.587338856904781
2025-05-31,5.8,6.482500877369815,4.477300119539983,5.700500975574924
2025-06-30,6.8,6.406717772689493,5.742298104158804,5.882671326812286
2025-07-31,5.7,6.584433932674838,2.5904385734902053,5.9307459750055065
2025-08-31,5.2,6.360571949243891,3.4073676010145295,5.354507003104119
2025-09-30,6.5,6.24588074524918,3.730163077619654,5.3106067864584094
2025-10-31,4.9,6.473211925691503,3.64137763380179,5.409724804245255
2025-11-30,4.8,6.1488562165593095,4.596432802344528,4.602347377228626
2025-12-31,5.2,6.103477284837462,3.862897058634127,4.639861165599025
2026-03-31,5.7,6.322496484229207,4.440963107221626,4.386653775718591
2026-04-30,4.1,6.189475934388298,2.2337254830240516,4.636361974648935
